Famille de métiers,Métier,Tâche,Impact potentiel,Exemple,Risques
Administration et pilotage,Assistant de direction,Répondre au téléphone,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et les manipulations psychologiques."
Administration et pilotage,Assistant de direction,Traiter le courrier électronique,faible,rédiger des réponses automatiques à des courriers électroniques courants.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des réponses automatiques à des courriers électroniques courants incluent la perte de confidentialité, la diffusion de fausses informations, les attaques de phishing et les utilisations malveillantes pour usurper des identités ou diffuser des contenus nuisibles."
Administration et pilotage,Assistant de direction,Organiser des déplacements,faible,planifier des itinéraires de déplacement en fonction des préférences et des contraintes de l'utilisateur.,"Les risques et détournements possibles associés à la planification d'itinéraires de déplacement par des chatbots IA incluent la collecte non autorisée de données personnelles, la manipulation de l'utilisateur en fonction de ses préférences et la possibilité de détournement pour des activités malveillantes telles que le vol d'identité ou la fraude."
Administration et pilotage,Assistant de direction,Faire des réservations d'hôtel,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, les escroqueries, les atteintes à la vie privée et les utilisations malveillantes pour manipuler les opinions ou voler des données personnelles."
Administration et pilotage,Assistant de direction,Préparer des présentations,moyen,générer des contenus de présentation.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des contenus de présentation incluent la diffusion de fausses informations, la perte de confidentialité, la création de contenus biaisés ou discriminatoires, ainsi que le détournement à des fins de spam ou de phishing."
Administration et pilotage,Chargé de mission,Rédiger un compte-rendu de réunion,fort,"retranscrire, résumer et rédiger un compte-rendu de réunion.","Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, la collecte non autorisée de données personnelles, la manipulation de l'opinion publique et les attaques de phishing."
Administration et pilotage,Chef de service,Planifier les réunions de service,faible,,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, les attaques de phishing, la collecte non autorisée de données personnelles et les utilisations malveillantes pour des activités illégales."
Administration et pilotage,Chef de service,Mettre à jour les procédures internes dans le manuel de l'université,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et les utilisations malveillantes pour manipuler les opinions ou voler des informations sensibles."
Administration et pilotage,Chef de service,Superviser la saisie des dossiers de personnel,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les utilisations malveillantes pour la manipulation de l'opinion publique."
Administration et pilotage,Directeur administratif,Élaborer des budgets,moyen,générer des modèles de budgets pour faciliter l'élaboration de plans financiers détaillés.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des modèles de budgets incluent la manipulation financière, les erreurs de calcul, la fuite de données sensibles et la création de plans financiers non éthiques ou non conformes aux réglementations."
Administration et pilotage,Directeur administratif,Analyser des données financières,moyen,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et les manipulations psychologiques."
Administration et pilotage,Directeur administratif,Préparer des rapports de gestion,moyen,rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données, la perte de confidentialité et l'utilisation à des fins malveillantes."
Administration et pilotage,Directeur administratif,Négocier des contrats,faible,rédiger les premières versions de contrats en fonction de modèles et de clauses standardisées.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de contrats incluent la génération de clauses non conformes aux lois ou réglementations en vigueur, ainsi que des erreurs ou omissions pouvant entraîner des litiges ou des conséquences juridiques."
Administration et pilotage,Directeur administratif,Superviser des équipes administratives,faible,automatiser la rédaction de rapports administratifs pour les équipes.,"Les risques et détournements possibles associés à l'automatisation de la rédaction de rapports administratifs par des chatbots IA incluent la perte de confidentialité, la diffusion d'informations erronées, la manipulation de données et la substitution de décisions humaines par des algorithmes biaisés."
Administration et pilotage,Directeur des études,Élaborer le calendrier académique annuel,moyen,générer les dates clés et les périodes de vacances pour élaborer le calendrier académique annuel.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des dates clés et des périodes de vacances incluent la diffusion d'informations erronées, la manipulation de données sensibles et les failles de sécurité potentielles."
Administration et pilotage,Directeur des études,Analyser les résultats des examens pour ajuster les programmes,fort,analyser les résultats des examens pour identifier les domaines où les étudiants ont des difficultés et rédiger des recommandations pour ajuster les programmes d'études en conséquence.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de confidentialité des données étudiantes, la manipulation des résultats d'examens et la dépendance excessive à la technologie au détriment de l'apprentissage humain."
Administration et pilotage,Directeur des études,Organiser les réunions de coordination avec les départements,faible,structurer les agendas et les ordres du jour pour les réunions de coordination avec les départements.,"Les risques et détournements possibles associés à l'utilisation de l'IA pour structurer les agendas et les ordres du jour incluent la perte de données sensibles, les erreurs de planification, les biais dans la priorisation des tâches et les failles de sécurité potentielles."
Administration et pilotage,Responsable administratif,Gérer les demandes de congés des personnels,faible,automatiser la rédaction des réponses aux demandes de congés des personnels.,"Les risques et détournements possibles associés à l'automatisation de la rédaction des réponses aux demandes de congés des personnels via des chatbots IA incluent la perte de confidentialité, les erreurs d'interprétation, les biais dans les réponses générées, ainsi que les risques de fraude et de manipulation des données sensibles."
Administration et pilotage,Secrétaire général,Rédiger des procès-verbaux,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et la manipulation émotionnelle."
Administration et pilotage,Secrétaire général,Gérer le calendrier des réunions,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les utilisations malveillantes pour manipuler l'opinion publique ou commettre des fraudes."
Administration et pilotage,Secrétaire général,Préparer des dossiers de réunion,moyen,Rédiger les comptes rendus de réunion et les notes de décision à partir de données et de points de discussion fournis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de confidentialité, la diffusion de fausses informations, la manipulation de données et les utilisations malveillantes pour le phishing ou le harcèlement."
Administration et pilotage,Secrétaire général,Envoyer des rappels de réunion,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les utilisations malveillantes pour la manipulation de l'opinion publique."
Administration et pilotage,Secrétaire général,Classer des documents administratifs,moyen,classer des documents administratifs en les catégorisant.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la classification de documents administratifs incluent la fuite de données sensibles, les erreurs de catégorisation, la manipulation de l'information et les préjugés algorithmiques."
Communication,Attaché de presse,Rédiger des articles de presse,fort,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, les attaques de phishing, la collecte non autorisée de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Communication,Attaché de presse,Organiser des interviews,moyen,générer et structurer les questions pour les interviews.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la désinformation, la manipulation de données, les atteintes à la vie privée et la possibilité d'usages malveillants tels que le phishing ou la diffusion de contenus préjudiciables."
Communication,Attaché de presse,Créer des dossiers de presse,moyen,rédiger des contenus de base pour les dossiers de presse.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et la manipulation de l'opinion publique."
Communication,Chargé de communication,Rédiger un communiqué de presse,Moyen,Rédiger un brouillon de communiqué de presse en générant automatiquement du contenu basé sur des informations fournies.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de l'opinion publique, la collecte non autorisée de données personnelles et les attaques de phishing."
Communication,Chargé de communication,Concevoir les visuels pour les réseaux sociaux,moyen,Générer des idées de contenu et des légendes pour les visuels des réseaux sociaux.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de l'opinion publique et la violation de la vie privée."
Communication,Chargé de communication,Organiser les événements promotionnels sur campus,faible,générer des invitations personnalisées et des programmes détaillés pour les événements promotionnels sur campus.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données personnelles, la diffusion de fausses informations, les attaques de phishing et les utilisations malveillantes pour perturber les événements promotionnels."
Communication,Graphiste,Concevoir une affiche pour un événement,moyen,"générer des textes, des images de présentation pour l'affiche de l'événement, pour s'inspirer notamment","Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la création de contenus préjudiciables ou offensants, ainsi que les utilisations malveillantes pour la manipulation ou l'exploitation d'informations personnelles."
Communication,Responsable de communication,Gérer les réseaux sociaux,fort,rédiger des publications pour les réseaux sociaux.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour rédiger des publications sur les réseaux sociaux incluent la diffusion de fausses informations, la manipulation de l'opinion publique, la violation de la vie privée et la création de contenus préjudiciables ou trompeurs."
Communication,Responsable de communication,Créer des contenus de blog/hebdomadaires,fort,rédiger des contenus de blog/hebdomadaires,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée, les discriminations et les manipulations de l'opinion publique."
Communication,Responsable de communication,Analyser des données de trafic web,moyen,analyser des données de trafic web pour résumer les tendances et les statistiques clés.,"Les risques et détournements possibles associés à l'analyse de données de trafic web par des chatbots IA incluent la collecte non autorisée de données personnelles, la violation de la vie privée, la diffusion de fausses informations et la manipulation des statistiques pour des fins malveillantes."
Communication,Responsable relations presse,Suivre les mentions de l'université dans les médias,faible,analyser et résumer les articles de presse en ligne pour détecter les mentions de l'université.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la vie privée, la manipulation de l'opinion publique et les atteintes à la sécurité des données."
Communication,Webmaster,Mettre à jour des sites web,moyen,rédiger du contenu pour mettre à jour des sites web.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de contenu incluent la diffusion de fausses informations, la violation de la propriété intellectuelle, la création de contenus biaisés ou discriminatoires, ainsi que les atteintes potentielles à la sécurité des données personnelles."
Communication,Webmaster,Superviser des équipes de développement web,faible,Rédiger des rapports de suivi et d'avancement pour les équipes de développement web.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la vie privée, la manipulation émotionnelle et l'utilisation à des fins malveillantes."
Enseignement,Assistant pédagogique,Préparer des supports de cours,Faible,Rédiger des contenus pédagogiques pour les supports de cours.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données personnelles, la création de contenus préjudiciables et la perte de confidentialité."
Enseignement,Enseignant-chercheur,Préparer des cours,fort,rédiger des plans de cours et des notes de lecture pour préparer des cours.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de l'originalité et de la créativité, ainsi que le plagiat et la diffusion de contenus inexacts ou biaisés."
Enseignement,Enseignant-chercheur,Donner des cours,faible,Rédiger des plans de cours et des supports de formation personnalisés pour les étudiants.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la perte de données sensibles, la diffusion de fausses informations, la dépendance excessive à la technologie et les biais dans les contenus générés."
Enseignement,Enseignant-chercheur,Mener des recherches,fort,résumer des articles de recherche,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les fraudes, les atteintes à la vie privée et les manipulations psychologiques."
Enseignement,Enseignant-chercheur,Rédiger des articles de recherche,fort,Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données, la violation de la vie privée et la création de contenus préjudiciables ou trompeurs."
Enseignement,Enseignant-chercheur,Participer à des conférences internationales,moyen,Rédiger des résumés de conférences ou des articles de recherche pour préparer les interventions orales lors de conférences internationales (préparer des réponses à des questions par exemple),"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données, la violation de la vie privée et la possibilité de générer du contenu trompeur ou malveillant."
Enseignement,Maître de conférences,Rédiger les propositions de projets de recherche,fort,Rédiger les propositions de projets de recherche.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, la manipulation émotionnelle, la collecte non éthique de données personnelles et les utilisations malveillantes pour le phishing ou le harcèlement."
Enseignement,Maître de conférences,Animer les séminaires de recherche,moyen,"Proposer des activités d'animations, préparer des questions en avance","Les risques et détournements possibles associés à ces usages de chatbots IA incluent la désinformation, la manipulation émotionnelle, la collecte non éthique de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Enseignement,Maître de conférences,Préparer des séminaires,fort,Rédiger des contenus de présentation pour les séminaires.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, les attaques de phishing, la collecte non autorisée de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Enseignement,Maître de conférences,Encadrer des travaux de recherche,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et les utilisations malveillantes pour manipuler l'opinion publique ou commettre des fraudes."
Enseignement,Maître de conférences,Participer à des comités de recherche,faible,retranscription et résumer des réunions,"Les risques et détournements possibles associés à la retranscription et au résumé des réunions par des chatbots IA incluent la perte de confidentialité, les erreurs de transcription, la manipulation de l'information et la possibilité de fuites de données sensibles."
Enseignement,Professeur,"Concevoir les supports de cours (diapositives, fiches)",fort,Rédiger les contenus des diapositives et des fiches de cours en fonction des objectifs pédagogiques définis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données personnelles et la compromission de la sécurité des utilisateurs."
Enseignement,Professeur,Préparer des cours,fort,rédiger des plans de cours et des contenus pédagogiques pour préparer des cours.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données personnelles, la création de contenus préjudiciables et la dépendance excessive à la technologie."
Enseignement,Professeur,Participer à des jurys d'examen,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et la manipulation émotionnelle."
Finances et Comptabilité,Comptable,Saisir les factures dans le logiciel comptable,Fort,extraire les informations des factures pour les saisir automatiquement dans le logiciel comptable.,"Les risques et détournements possibles associés à l'extraction automatique des informations des factures par l'IA incluent la fraude, les erreurs de saisie, la perte de données sensibles et les failles de sécurité."
Finances et Comptabilité,Comptable,Gérer des comptes,moyen,générer des rapports de synthèse pour la gestion des comptes.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la génération de rapports de synthèse pour la gestion des comptes incluent la diffusion de fausses informations, la violation de la confidentialité des données, les erreurs de calcul et les usurpations d'identité."
Finances et Comptabilité,Comptable,Analyser des données comptables,moyen,analyser et résumer les données comptables.,"Les risques et détournements possibles associés à l'analyse et à la résumé des données comptables par des chatbots IA incluent la manipulation de données, les erreurs d'interprétation, la perte de confidentialité et les fraudes financières."
Finances et Comptabilité,Comptable,Faire des prévisions financières,moyen,analyser des données financières pour rédiger des prévisions de revenus et de dépenses.,"Les risques et détournements possibles associés à l'analyse de données financières par des chatbots IA incluent la manipulation de données, les erreurs de prévision, la confidentialité compromise et les utilisations malveillantes."
Finances et Comptabilité,Comptable,Classer des documents comptables,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, les attaques de phishing, la collecte non autorisée de données personnelles et les utilisations malveillantes pour la cybercriminalité."
Finances et Comptabilité,Comptable universitaire,Saisir les factures fournisseurs,faible,saisir automatiquement les informations contenues dans les factures fournisseurs.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour saisir automatiquement les informations contenues dans les factures fournisseurs incluent la fraude, les erreurs de saisie, la perte de données sensibles et les failles de sécurité."
Finances et Comptabilité,Comptable universitaire,Générer les bilans financiers trimestriels,fort,générer automatiquement les rapports financiers trimestriels en rédigeant les bilans à partir de données comptables fournies.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des rapports financiers incluent la manipulation de données, les erreurs de calcul, la perte de confidentialité et la possibilité de falsification de documents financiers."
Finances et Comptabilité,Contrôleur de gestion,Analyser les données financières,moyen,analyser et résumer les données financières.,"Les risques et détournements possibles associés à l'analyse et à la résumé des données financières par des chatbots IA incluent la manipulation de données, les erreurs d'interprétation, la perte de confidentialité et les utilisations malveillantes pour des activités frauduleuses."
Finances et Comptabilité,Directeur financier,Élaborer des budgets,moyen,générer des projections de dépenses et des prévisions de revenus pour élaborer des budgets.,"Les risques et détournements possibles associés à l'utilisation de l'IA pour générer des projections de dépenses et des prévisions de revenus incluent des erreurs de calcul, des biais dans les données, des utilisations non autorisées des informations financières et des manipulations de prévisions pour des gains personnels."
Finances et Comptabilité,Directeur financier,Analyser des données financières,moyen,analyser et résumer des données financières.,"Les risques et détournements possibles associés à l'analyse et à la résumé de données financières par des chatbots IA incluent la manipulation de données, les erreurs d'interprétation, la fuite de données sensibles et les utilisations malveillantes pour des activités frauduleuses."
Finances et Comptabilité,Directeur financier,Préparer des rapports de gestion,moyen,rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la manipulation de données, la perte de confidentialité et la possibilité de générer des contenus préjudiciables ou trompeurs."
Finances et Comptabilité,Directeur financier,Négocier des contrats,faible,Rédiger des modèles de contrats personnalisés en fonction des exigences spécifiques des parties impliquées.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour la rédaction de contrats personnalisés incluent la création de clauses contractuelles trompeuses, la violation de la confidentialité, la génération de contenu inexact ou biaisé, ainsi que l'utilisation malveillante de ces contrats à des fins frauduleuses."
Finances et Comptabilité,Responsable budgétaire,Élaborer le budget annuel de l'université,moyen,structurer les données financières pour élaborer le budget annuel de l'université.,"Les risques et détournements possibles associés à l'utilisation de l'IA pour structurer les données financières incluent la manipulation de données, les erreurs de calcul, la confidentialité compromise et les préjugés algorithmiques."
Finances et Comptabilité,Trésorier,Suivre les encaissements et décaissements,moyen,enregistrer les encaissements et décaissements dans un tableau de suivi financier.,"Les risques et détournements possibles associés à l'enregistrement des encaissements et décaissements par un chatbot IA incluent des erreurs de saisie, des manipulations financières frauduleuses, des failles de sécurité et des pertes de données sensibles."
Finances et Comptabilité,Trésorier,Gérer des flux de trésorerie,moyen,générer des rapports de prévisions de trésorerie pour faciliter la planification financière.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour générer des rapports de prévisions de trésorerie incluent la manipulation de données financières, les erreurs de prévision, la perte de confidentialité et les utilisations malveillantes de l'information financière."
Finances et Comptabilité,Trésorier,Faire des prévisions de trésorerie,moyen,générer des projections de trésorerie en analysant les données financières historiques et en appliquant des modèles prédictifs.,"Les risques et détournements possibles associés à l'utilisation de l'IA pour générer des projections de trésorerie incluent des erreurs de prévision, des manipulations de données, des vulnérabilités de sécurité et des utilisations non éthiques des informations financières."
Informatique NTIC,Administrateur réseau,Gérer des réseaux,moyen,analyser les données de trafic pour optimiser la configuration des réseaux.,"Les risques et détournements possibles associés à l'analyse des données de trafic par l'IA incluent la violation de la vie privée, la manipulation des données, la faille de sécurité et l'utilisation à des fins malveillantes."
Informatique NTIC,Administrateur réseau,Préparer des rapports de maintenance,moyen,rédiger des rapports de maintenance en fonction des données techniques et des informations fournies.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la confidentialité des données et la possibilité d'usages malveillants pour la création de rapports de maintenance frauduleux."
Informatique NTIC,Administrateur réseau,Faire des prévisions de maintenance,moyen,analyser les données historiques de maintenance pour prédire les pannes futures et générer des calendriers de maintenance préventive.,"Les risques et détournements possibles associés à ces usages de l'IA incluent la confidentialité des données, les biais algorithmiques, les erreurs de prédiction, les failles de sécurité et les utilisations malveillantes des informations de maintenance."
Informatique NTIC,Administrateur réseau,Classer des documents de maintenance,faible,,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la désinformation, les arnaques, les atteintes à la vie privée et la manipulation émotionnelle."
Informatique NTIC,Administrateur système,Gérer les serveurs de l'université,faible,analyser les journaux de connexion pour détecter les problèmes de serveurs de l'université.,"Les risques et détournements possibles associés à l'analyse des journaux de connexion par l'IA incluent la violation de la vie privée, l'accès non autorisé aux données sensibles et les attaques de pirates informatiques."
Informatique NTIC,Développeur web,Créer une nouvelle page web,fort,générer le contenu initial de la page web.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la diffusion de fausses informations, la collecte non éthique de données personnelles, les attaques de phishing et les utilisations malveillantes pour la cybercriminalité."
Informatique NTIC,Développeur web,Créer des applications web,moyen,générer du code pour créer des applications web.,"Les risques et détournements possibles associés à la génération de code pour créer des applications web via des chatbots IA incluent la création de logiciels malveillants, la violation de la propriété intellectuelle et la diffusion de contenus illicites."
Informatique NTIC,Développeur web,Gérer des bases de données web,moyen,structurer les données pour une meilleure organisation et recherche dans les bases de données web.,"Les risques et détournements possibles associés à l'utilisation de l'IA pour structurer les données incluent la perte de confidentialité, les biais algorithmiques, les erreurs de classification, les attaques de piratage et les utilisations malveillantes des données personnelles."
Informatique NTIC,Développeur web,Optimiser des sites web pour les moteurs de recherche,moyen,générer des métadonnées et des contenus de qualité pour optimiser les sites web pour les moteurs de recherche.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la génération de contenus trompeurs ou biaisés, la diffusion de fausses informations, ainsi que les atteintes potentielles à la vie privée et à la sécurité des données."
Informatique NTIC,Directeur des systèmes d'information,Élaborer des stratégies informatiques,moyen,générer des propositions de stratégies informatiques personnalisées en fonction des besoins et des objectifs spécifiques de l'entreprise.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la collecte non autorisée de données, la diffusion de fausses informations, les attaques de phishing et les utilisations malveillantes pour le piratage ou la manipulation."
Informatique NTIC,Directeur des systèmes d'information,Gérer des budgets informatiques,moyen,analyser les dépenses et rédiger des rapports de budget informatique détaillés.,"Les risques et détournements possibles associés à l'utilisation de chatbots IA pour analyser les dépenses et rédiger des rapports de budget informatique détaillés incluent la manipulation de données, les erreurs de calcul, la perte de confidentialité et les détournements de fonds."
Informatique NTIC,Directeur des systèmes d'information,Préparer des rapports de gestion,moyen,rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.,"Les risques et détournements possibles associés à ces usages de chatbots IA incluent la diffusion de fausses informations, la violation de la confidentialité des données et la possibilité de générer des contenus malveillants ou trompeurs."
Informatique NTIC,Responsable informatique,Concevoir la stratégie de cybersécurité,fort,Rédiger un plan de cybersécurité personnalisé en fonction des besoins et des vulnérabilités spécifiques d'une organisation.,"Les risques et détournements possibles associés aux usages de chatbots IA incluent la collecte non autorisée de données personnelles, les attaques de phishing, la diffusion de fausses informations et les pertes financières dues à des transactions non sécurisées."
